NCBI_Gene_ID,Ensembl_gene_ID,gene_symbol,HGNC_ID,gene_name,Status,Previous_symbols,Alias_symbols,Accession_numbers,RefSeq_IDs
1,ENSG00000121410,A1BG,HGNC:5,alpha-1-B glycoprotein,Approved,NA,NA,NA,NM_130786
503538,ENSG00000268895,A1BG-AS1,HGNC:37133,A1BG antisense RNA 1,Approved,"NCRNA00181, A1BGAS, A1BG-AS",FLJ23569,BC040926,NR_015380
29974,ENSG00000148584,A1CF,HGNC:24086,APOBEC1 complementation factor,Approved,NA,"ACF, ASP, ACF64, ACF65, APOBEC1CF",AF271790,NM_014576
2,ENSG00000175899,A2M,HGNC:7,alpha-2-macroglobulin,Approved,NA,"FWP007, S863-7, CPAMD5","BX647329, X68728, M11313",NM_000014
144571,ENSG00000245105,A2M-AS1,HGNC:27057,A2M antisense RNA 1,Approved,NA,NA,NA,NR_026971
144568,ENSG00000166535,A2ML1,HGNC:23336,alpha-2-macroglobulin like 1,Approved,CPAMD9,"FLJ25179, p170",AK057908,NM_144670
100874108,ENSG00000256661,A2ML1-AS1,HGNC:41022,A2ML1 antisense RNA 1,Approved,NA,NA,NA,NA
106478979,ENSG00000256904,A2ML1-AS2,HGNC:41523,A2ML1 antisense RNA 2,Approved,NA,NA,NA,NA
3,ENSG00000256069,A2MP1,HGNC:8,alpha-2-macroglobulin pseudogene 1,Approved,A2MP,NA,M24415,NG_001067
127550,ENSG00000184389,A3GALT2,HGNC:30005,"alpha 1,3-galactosyltransferase 2",Approved,A3GALT2P,"IGBS3S, IGB3S",NA,NM_001080438
53947,ENSG00000128274,A4GALT,HGNC:18149,"alpha 1,4-galactosyltransferase (P blood group)",Approved,P1,"A14GALT, Gb3S, P(k)",NA,NM_017436
51146,ENSG00000118017,A4GNT,HGNC:17968,"alpha-1,4-N-acetylglucosaminyltransferase",Approved,NA,alpha4GnT,AF141315,NM_016161
8086,ENSG00000094914,AAAS,HGNC:13666,aladin WD repeat nucleoporin,Approved,NA,NA,AJ289841,NA
65985,ENSG00000081760,AACS,HGNC:21298,acetoacetyl-CoA synthetase,Approved,NA,"FLJ12389, SUR-5, ACSF1",AK022451,NM_023928
729522,ENSG00000250420,AACSP1,HGNC:18226,acetoacetyl-CoA synthetase pseudogene 1,Approved,AACSL,NA,NA,NR_024035
13,ENSG00000114771,AADAC,HGNC:17,arylacetamide deacetylase,Approved,NA,"DAC, CES5A1",L32179,NM_001086
344752,ENSG00000197953,AADACL2,HGNC:24427,arylacetamide deacetylase like 2,Approved,NA,MGC72001,BC065724,NM_207365
101928142,ENSG00000242908,AADACL2-AS1,HGNC:50301,AADACL2 antisense RNA 1,Approved,NA,NA,NA,NA
126767,ENSG00000188984,AADACL3,HGNC:32037,arylacetamide deacetylase like 3,Approved,NA,OTTHUMG00000001887,NA,NM_001103170
343066,ENSG00000204518,AADACL4,HGNC:32038,arylacetamide deacetylase like 4,Approved,NA,OTTHUMG00000001889,NA,NM_001013630
201651,ENSG00000240602,AADACP1,HGNC:50305,arylacetamide deacetylase pseudogene 1,Approved,NA,NA,NA,NA
51166,ENSG00000109576,AADAT,HGNC:17929,aminoadipate aminotransferase,Approved,NA,"KATII, KAT2, KYAT2",AF097994,NM_016228
79719,ENSG00000103591,AAGAB,HGNC:25662,alpha and gamma adaptin binding protein,Approved,NA,"FLJ11506, p34",AL136715,NM_024666
