internal_identifiers,identifiers,RSD_QC,measurement_mode,quality,ISTD,saturation,total_chain_length,database_identifier,chemical_formula,smiles,inchi,mass_to_charge,fragmentation,collision_energy,retention_time,taxid,species,abbreviation_swiss_lipids,name_swiss_lipids,class,subclass,standardized_name_lipid_maps,exact_mass_lipid_maps,detection_start,detection_end,name_in_mzML
ANG_SM_d32.2,SM d32:2,14.3220351619395,POS,Highlighted Metabolites,ANG_SM_splash_d18.1_18.1_d9,PUFA,32,SLM:000390694,C37H73N2O6P,,,673.528,184.1,15,5.7,http://purl.bioontology.org/ontology/NCBITAXON/9606,Homo sapiens,SM(d32:2),Sphingomyelin (d32:2),SM,SM,SM 32:2;O2,672.5206,5.445,6.195,SM d32:2
ANG_SM_d33.0,SM d33:0,12.8437150015101,POS,Highlighted Metabolites,ANG_SM_splash_d18.1_18.1_d9,SFA,33,SLM:000390706,C38H79N2O6P,,,691.575,184.1,15,5.7,http://purl.bioontology.org/ontology/NCBITAXON/9606,Homo sapiens,SM(d33:0),Sphingomyelin (d33:0),SM,SM,SM 33:0;O2,690.5676,5.445,6.195,SM d33:0
ANG_SM_d33.1,SM d33:1,14.8908736902424,POS,Highlighted Metabolites,ANG_SM_splash_d18.1_18.1_d9,MUFA,33,SLM:000390704,C38H77N2O6P,,,689.559,184.1,15,5.7,http://purl.bioontology.org/ontology/NCBITAXON/9606,Homo sapiens,SM(d33:1),Sphingomyelin (d33:1),SM,SM,SM 33:1;O2,688.5519,5.445,6.195,SM d33:1
ANG_SM_d33.3,SM d33:3,9.08593444235882,POS,Highlighted Metabolites,ANG_SM_splash_d18.1_18.1_d9,PUFA,33,SLM:000390700,C38H73N2O6P,,,685.528,184.1,35,5.7,http://purl.bioontology.org/ontology/NCBITAXON/9606,Homo sapiens,SM(d33:3),Sphingomyelin (d33:3),SM,SM,SM 33:3;O2,684.5206,5.445,6.195,SM d33:3
ANG_SM_d34.0,SM d34:0,13.4182947857305,POS,Highlighted Metabolites,ANG_SM_splash_d18.1_18.1_d9,SFA,34,SLM:000390716,C39H81N2O6P,,,705.591,184.1,15,5.7,http://purl.bioontology.org/ontology/NCBITAXON/9606,Homo sapiens,SM(d34:0),Sphingomyelin (d34:0),SM,SM,SM 34:0;O2,704.5832,5.445,6.195,SM d34:0
ANG_SM_d34.1,SM d34:1,12.4946742572437,POS,Highlighted Metabolites,ANG_SM_splash_d18.1_18.1_d9,MUFA,34,SLM:000390714,C39H79N2O6P,,,703.575,184.1,8,5.7,http://purl.bioontology.org/ontology/NCBITAXON/9606,Homo sapiens,SM(d34:1),Sphingomyelin (d34:1),SM,SM,SM 34:1;O2,702.5676,5.445,6.195,SM d34:1
ANG_SM_d34.2,SM d34:2,9.3227529212418,POS,Highlighted Metabolites,ANG_SM_splash_d18.1_18.1_d9,PUFA,34,SLM:000390712,C39H77N2O6P,,,701.559,184.1,15,5.7,http://purl.bioontology.org/ontology/NCBITAXON/9606,Homo sapiens,SM(d34:2),Sphingomyelin (d34:2),SM,SM,SM 34:2;O2,700.5519,5.445,6.195,SM d34:2
ANG_SM_d34.3,SM d34:3,9.57957050777782,POS,Highlighted Metabolites,ANG_SM_splash_d18.1_18.1_d9,PUFA,34,SLM:000390711,C39H75N2O6P,,,699.544,184.1,35,5.7,http://purl.bioontology.org/ontology/NCBITAXON/9606,Homo sapiens,SM(d34:3),Sphingomyelin (d34:3),SM,SM,SM 34:3;O2,698.5363,5.445,6.195,SM d34:3
ANG_SM_d35.1,SM d35:1,10.2267509116382,POS,Highlighted Metabolites,ANG_SM_splash_d18.1_18.1_d9,MUFA,35,SLM:000390726,C40H81N2O6P,,,717.591,184.1,15,5.7,http://purl.bioontology.org/ontology/NCBITAXON/9606,Homo sapiens,SM(d35:1),Sphingomyelin (d35:1),SM,SM,SM 35:1;O2,716.5832,5.445,6.195,SM d35:1
ANG_SM_d35.2,SM d35:2,5.58670903867834,POS,Highlighted Metabolites,ANG_SM_splash_d18.1_18.1_d9,PUFA,35,SLM:000390724,C40H79N2O6P,,,715.575,184.1,35,5.7,http://purl.bioontology.org/ontology/NCBITAXON/9606,Homo sapiens,SM(d35:2),Sphingomyelin (d35:2),SM,SM,SM 35:2;O2,714.5676,5.445,6.195,SM d35:2
ANG_SM_d36.4,SM d36:4,9.37993541374903,POS,Highlighted Metabolites,ANG_SM_splash_d18.1_18.1_d9,PUFA,36,SLM:000390733,C41H77N2O6P,,,725.559,184.1,35,5.7,http://purl.bioontology.org/ontology/NCBITAXON/9606,Homo sapiens,SM(d36:4),Sphingomyelin (d36:4),SM,SM,SM 36:4;O2,724.5519,5.445,6.195,SM d36:4
ANG_SM_d37.4,SM d37:4,6.26342922169724,POS,Highlighted Metabolites,ANG_SM_splash_d18.1_18.1_d9,PUFA,37,SLM:000390747,C42H79N2O6P,,,741.591,184.1,35,5.7,http://purl.bioontology.org/ontology/NCBITAXON/9606,Homo sapiens,SM(d37:4),Sphingomyelin (d37:4),SM,SM,SM 37:4;O2,738.5676,5.445,6.195,SM d37:4
