Original_name,group,cell_line,Treatment,Time,Subject,biological_replicate,batch_MSMS,cell_nr_10E6,corrected_conc_mg_per_mL
193_MDA-MB-231_ctrl-0,MDA-MB-231_ctrl-0,MDA-MB-231,ctrl,0,S9,2,1,2.28,0.296400626
194_MDA-MB-231_ctrl-6,MDA-MB-231_ctrl-6,MDA-MB-231,ctrl,6,S9,2,1,1.65,0.469327074
195_MDA-MB-231_ctrl-24,MDA-MB-231_ctrl-24,MDA-MB-231,ctrl,24,S9,2,1,29.7,0.41799687
196_MDA-MB-231_ctrl-48,MDA-MB-231_ctrl-48,MDA-MB-231,ctrl,48,S9,2,1,39.9,0.580125196
197_MDA-MB-231_2DG-6,MDA-MB-231_2DG-6,MDA-MB-231,2DG,6,S10,2,1,1.6,0.309389671
198_MDA-MB-231_2DG-24,MDA-MB-231_2DG-24,MDA-MB-231,2DG,24,S10,2,1,2.48,0.328951487
199_MDA-MB-231_2DG-48,MDA-MB-231_2DG-48,MDA-MB-231,2DG,48,S10,2,1,2.28,0.317214397
200_Hs578T_ctrl-0,Hs578T_ctrl-0,Hs578T,ctrl,0,S11,2,1,1.18,0.351330203
201_Hs578T_ctrl-6,Hs578T_ctrl-6,Hs578T,ctrl,6,S11,2,1,1.71,0.389671362
202_Hs578T_ctrl-24,Hs578T_ctrl-24,Hs578T,ctrl,24,S11,2,1,3.47,0.608763693
203_Hs578T_ctrl-48,Hs578T_ctrl-48,Hs578T,ctrl,48,S11,2,1,10.3,0.469796557
204_Hs578T_2DG-6,Hs578T_2DG-6,Hs578T,2DG,6,S12,2,1,1.13,0.349608764
205_Hs578T_2DG-24,Hs578T_2DG-24,Hs578T,2DG,24,S12,2,1,1.54,0.33286385
206_Hs578T_2DG-48,Hs578T_2DG-48,Hs578T,2DG,48,S12,2,1,1.13,0.334115806
207_HCC38_ctrl-0,HCC38_ctrl-0,HCC38,ctrl,0,S13,2,1,0.44,0.210954617
208_HCC38_ctrl-6,HCC38_ctrl-6,HCC38,ctrl,6,S13,2,1,0.468,0.264945227
209_HCC38_ctrl-24,HCC38_ctrl-24,HCC38,ctrl,24,S13,2,1,0.963,0.353677621
210_HCC38_ctrl-48,HCC38_ctrl-48,HCC38,ctrl,48,S13,2,1,2.23,0.529577465
211_HCC38_2DG-6,HCC38_2DG-6,HCC38,2DG,6,S14,2,1,0.55,0.304538341
212_HCC38_2DG-24,HCC38_2DG-24,HCC38,2DG,24,S14,2,1,0.688,0.293740219
213_HCC38_2DG-48,HCC38_2DG-48,HCC38,2DG,48,S14,2,1,0.55,0.2342723
218_MDA-MB-231_ctrl-0,MDA-MB-231_ctrl-0,MDA-MB-231,ctrl,0,S16,3,1,2.61,0.363833333
219_MDA-MB-231_ctrl-6,MDA-MB-231_ctrl-6,MDA-MB-231,ctrl,6,S16,3,1,4.18,0.4995
220_MDA-MB-231_ctrl-24,MDA-MB-231_ctrl-24,MDA-MB-231,ctrl,24,S16,3,1,5.56,0.526166667
221_MDA-MB-231_ctrl-48,MDA-MB-231_ctrl-48,MDA-MB-231,ctrl,48,S16,3,1,6.88,0.704166667
222_MDA-MB-231_2DG-6,MDA-MB-231_2DG-6,MDA-MB-231,2DG,6,S17,3,1,3.16,0.386666667
223_MDA-MB-231_2DG-24,MDA-MB-231_2DG-24,MDA-MB-231,2DG,24,S17,3,1,2.78,0.3935
224_MDA-MB-231_2DG-48,MDA-MB-231_2DG-48,MDA-MB-231,2DG,48,S17,3,1,6.44,0.399166667
225_Hs578T_ctrl-0,Hs578T_ctrl-0,Hs578T,ctrl,0,S18,3,1,0.826,0.371
226_Hs578T_ctrl-6,Hs578T_ctrl-6,Hs578T,ctrl,6,S18,3,1,1.46,0.342166667
227_Hs578T_ctrl-24,Hs578T_ctrl-24,Hs578T,ctrl,24,S18,3,1,1.93,0.507833333
228_Hs578T_ctrl-48,Hs578T_ctrl-48,Hs578T,ctrl,48,S18,3,1,4.98,0.515333333
229_Hs578T_2DG-6,Hs578T_2DG-6,Hs578T,2DG,6,S19,3,1,0.936,0.352
230_Hs578T_2DG-24,Hs578T_2DG-24,Hs578T,2DG,24,S19,3,1,0.908,0.307166667
231_Hs578T_2DG-48,Hs578T_2DG-48,Hs578T,2DG,48,S19,3,1,0.826,0.271666667
232_HCC38_ctrl-0,HCC38_ctrl-0,HCC38,ctrl,0,S20,3,1,0.33,0.213666667
233_HCC38_ctrl-6,HCC38_ctrl-6,HCC38,ctrl,6,S20,3,1,0.468,0.227333333
234_HCC38_ctrl-24,HCC38_ctrl-24,HCC38,ctrl,24,S20,3,1,0.33,0.244333333
235_HCC38_ctrl-48,HCC38_ctrl-48,HCC38,ctrl,48,S20,3,1,1.02,0.379
236_HCC38_2DG-6,HCC38_2DG-6,HCC38,2DG,6,S21,3,1,0.33,0.272666667
237_HCC38_2DG-24,HCC38_2DG-24,HCC38,2DG,24,S21,3,1,0.413,0.475833333
238_HCC38_2DG-48,HCC38_2DG-48,HCC38,2DG,48,S21,3,1,0.605,0.169833333
